salt,salt_con,substrate1,con1,substrate2,con2,substrate3,con3,substrate4,con4,substrate5,con5,temperature,ionic
F[As-](F)(F)(F)(F)F.[Li+],7.703794,O=C1OCCO1,14.44538,CC1COC(=O)O1,11.31923,CC1CCCO1,19.09536,C1CCOC1,47.43623,O,0,-30,3.781755
F[As-](F)(F)(F)(F)F.[Li+],7.400877,O=C1OCCO1,41.63214,CC1COC(=O)O1,32.62246,CC1CCCO1,18.34452,O,0,O,0,-30,3.170262
O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],8.488609,O=C1OCCO1,15.91698,CC1COC(=O)O1,12.47237,CC1CCCO1,63.12204,O,0,O,0,40,3.940018
F[As-](F)(F)(F)(F)F.[Li+],7.703794,O=C1OCCO1,14.44538,CC1COC(=O)O1,11.31923,CC1CCCO1,19.09536,C1CCOC1,47.43623,O,0,0,4.04454
F[P-](F)(F)(F)(F)F.[Li+],8.488609,O=C1OCCO1,15.91698,CC1COC(=O)O1,12.47237,CC1CCCO1,63.12204,O,0,O,0,-40,3.385606
F[As-](F)(F)(F)(F)F.[Li+],12.21449,O=C1OCCO1,15.26893,CC1COC(=O)O1,11.96455,CC1CCCO1,60.55203,O,0,O,0,-60,2.662758
F[As-](F)(F)(F)(F)F.[Li+],6.824504,O=C1OCCO1,12.79662,CC1COC(=O)O1,10.02729,CC1CCCO1,16.91587,ClCCl,53.43572,O,0,-30,3.693727
F[As-](F)(F)(F)(F)F.[Li+],7.400877,O=C1OCCO1,41.63214,CC1COC(=O)O1,32.62246,CC1CCCO1,18.34452,O,0,O,0,0,3.664642
F[As-](F)(F)(F)(F)F.[Li+],8.488609,O=C1OCCO1,15.91698,CC1COC(=O)O1,12.47237,CC1CCCO1,63.12204,O,0,O,0,20,3.995635
F[As-](F)(F)(F)(F)F.[Li+],12.21449,O=C1OCCO1,15.26893,CC1COC(=O)O1,11.96455,CC1CCCO1,60.55203,O,0,O,0,-40,3.198657
O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],8.488609,O=C1OCCO1,15.91698,CC1COC(=O)O1,12.47237,CC1CCCO1,63.12204,O,0,O,0,60,4.017451
F[As-](F)(F)(F)(F)F.[Li+],21.7699,O=C1OCCO1,13.60691,CC1COC(=O)O1,10.66222,CC1CCCO1,53.96097,O,0,O,0,20,3.294466
O=S(=O)([O-])C(F)(F)F.[Li+],8.488609,O=C1OCCO1,15.91698,CC1COC(=O)O1,12.47237,CC1CCCO1,63.12204,O,0,O,0,-60,2.39794
F[As-](F)(F)(F)(F)F.[Li+],7.784008,O=C1OCCO1,20.4341,CC1COC(=O)O1,16.01193,CC1CCCO1,27.01187,C1CCOC1,28.75809,O,0,20,4.124504
F[As-](F)(F)(F)(F)F.[Li+],7.625216,O=C1OCCO1,8.578822,CC1COC(=O)O1,6.722266,CC1CCCO1,11.34035,C1CCOC1,65.73334,O,0,80,4.376577
F[As-](F)(F)(F)(F)F.[Li+],6.470051,O=C1OCCO1,7.279193,CC1COC(=O)O1,5.703891,CC1CCCO1,9.622373,ClCCl,70.92449,O,0,-40,3.454845
F[As-](F)(F)(F)(F)F.[Li+],4.43243,O=C1OCCO1,16.62249,CC1COC(=O)O1,13.02519,CC1CCCO1,65.91988,O,0,O,0,-30,3.579784
F[As-](F)(F)(F)(F)F.[Li+],6.824504,O=C1OCCO1,12.79662,CC1COC(=O)O1,10.02729,CC1CCCO1,16.91587,ClCCl,53.43572,O,0,-40,3.553883
F[As-](F)(F)(F)(F)F.[Li+],12.21449,O=C1OCCO1,15.26893,CC1COC(=O)O1,11.96455,CC1CCCO1,60.55203,O,0,O,0,80,4.247237
F[As-](F)(F)(F)(F)F.[Li+],6.470051,O=C1OCCO1,7.279193,CC1COC(=O)O1,5.703891,CC1CCCO1,9.622373,ClCCl,70.92449,O,0,-30,3.563481
F[As-](F)(F)(F)(F)F.[Li+],10.25531,O=C1OCCO1,19.22973,CC1COC(=O)O1,15.06819,CC1CCCO1,25.4198,COCC(C)OC(C)COC,30.02696,O,0,40,4.108565
F[As-](F)(F)(F)(F)F.[Li+],7.625216,O=C1OCCO1,8.578822,CC1COC(=O)O1,6.722266,CC1CCCO1,11.34035,C1CCOC1,65.73334,O,0,60,4.330008
F[As-](F)(F)(F)(F)F.[Li+],7.703794,O=C1OCCO1,14.44538,CC1COC(=O)O1,11.31923,CC1CCCO1,19.09536,C1CCOC1,47.43623,O,0,-50,3.469822
F[As-](F)(F)(F)(F)F.[Li+],7.220045,O=C1OCCO1,18.95362,CC1COC(=O)O1,14.85184,CC1CCCO1,25.05482,ClCCl,33.91968,O,0,-60,3.012837
F[As-](F)(F)(F)(F)F.[Li+],10.25531,O=C1OCCO1,19.22973,CC1COC(=O)O1,15.06819,CC1CCCO1,25.4198,COCC(C)OC(C)COC,30.02696,O,0,-60,2.778151
F[As-](F)(F)(F)(F)F.[Li+],8.488609,O=C1OCCO1,15.91698,CC1COC(=O)O1,12.47237,CC1CCCO1,63.12204,O,0,O,0,60,4.190892
F[As-](F)(F)(F)(F)F.[Li+],21.7699,O=C1OCCO1,13.60691,CC1COC(=O)O1,10.66222,CC1CCCO1,53.96097,O,0,O,0,80,3.980458
F[As-](F)(F)(F)(F)F.[Li+],7.784008,O=C1OCCO1,20.4341,CC1COC(=O)O1,16.01193,CC1CCCO1,27.01187,C1CCOC1,28.75809,O,0,40,4.231724
F[As-](F)(F)(F)(F)F.[Li+],7.703794,O=C1OCCO1,14.44538,CC1COC(=O)O1,11.31923,CC1CCCO1,19.09536,C1CCOC1,47.43623,O,0,-20,3.879669
F[As-](F)(F)(F)(F)F.[Li+],6.824504,O=C1OCCO1,12.79662,CC1COC(=O)O1,10.02729,CC1CCCO1,16.91587,ClCCl,53.43572,O,0,-10,3.874482
F[As-](F)(F)(F)(F)F.[Li+],7.703794,O=C1OCCO1,14.44538,CC1COC(=O)O1,11.31923,CC1CCCO1,19.09536,C1CCOC1,47.43623,O,0,-40,3.641474
F[As-](F)(F)(F)(F)F.[Li+],7.907512,O=C1OCCO1,29.65474,CC1COC(=O)O1,23.23711,CC1CCCO1,39.20064,O,0,O,0,20,3.980458
F[As-](F)(F)(F)(F)F.[Li+],9.166653,O=C1OCCO1,24.06374,CC1COC(=O)O1,18.85607,CC1CCCO1,31.80988,COCC(C)OC(C)COC,16.10366,O,0,0,3.898725
F[As-](F)(F)(F)(F)F.[Li+],7.907512,O=C1OCCO1,29.65474,CC1COC(=O)O1,23.23711,CC1CCCO1,39.20064,O,0,O,0,60,4.233504
O=S(=O)([O-])C(F)(F)F.[Li+],8.488609,O=C1OCCO1,15.91698,CC1COC(=O)O1,12.47237,CC1CCCO1,63.12204,O,0,O,0,-40,2.69897
F[As-](F)(F)(F)(F)F.[Li+],15.64885,O=C1OCCO1,14.67157,CC1COC(=O)O1,11.49647,CC1CCCO1,58.1831,O,0,O,0,-20,3.190332
F[As-](F)(F)(F)(F)F.[Li+],7.784008,O=C1OCCO1,20.4341,CC1COC(=O)O1,16.01193,CC1CCCO1,27.01187,C1CCOC1,28.75809,O,0,-60,3.103804
F[As-](F)(F)(F)(F)F.[Li+],8.350577,O=C1OCCO1,21.92143,CC1COC(=O)O1,17.17738,CC1CCCO1,28.97796,Cc1ccccc1,23.57266,O,0,-10,3.603144
