Solvent 1,Solvent 2,Weights,Molar Mass,Log Conductivity (log S/cm),salt,temperature
C(COCCOCCOCCO)O,C1=CC=CC=C1,"[0.4025700069242041, 0.4025700069242041]","[194.12, 78.05]",-3.720212178,F[P-](F)(F)(F)(F)F.[Li+],20
C(COCCOCCOCCO)O,C1CCOC1,"[0.43253717657032625, 0.43253717657032625]","[194.12, 72.06]",-1.87886103,F[P-](F)(F)(F)(F)F.[Li+],20
C(COCCOCCOCCO)O,C1CCOC1,"[0.3885215202070043, 0.3885215202070043]","[194.12, 72.06]",-2.680587061,F[P-](F)(F)(F)(F)F.[Li+],20
C(COCCOCCOCCO)O,C1CCOC1,"[0.45209591666968063, 0.45209591666968063]","[194.12, 72.06]",-3.59189663,F[P-](F)(F)(F)(F)F.[Li+],20
C(COCCOCCOCCO)O,C1CCOC1,"[0.45703003601396686, 0.45703003601396686]","[194.12, 72.06]",-2.550439864,F[P-](F)(F)(F)(F)F.[Li+],20
C(COCCOCCOCCO)O,C1CCOC1,"[0.2756521930888482, 0.2756521930888482]","[194.12, 72.06]",-3.962021265,F[P-](F)(F)(F)(F)F.[Li+],20
C(COCCOCCOCCO)O,C1CCOC1,"[0.34796648386827383, 0.34796648386827383]","[194.12, 72.06]",-2.847455055,F[P-](F)(F)(F)(F)F.[Li+],20
C(COCCOCCOCCO)O,C1CCOC1,"[0.41808467050747117, 0.41808467050747117]","[194.12, 72.06]",-1.762671272,F[P-](F)(F)(F)(F)F.[Li+],20
C(COCCOCCOCCO)O,C1CCOC1,"[0.43403531311307486, 0.43403531311307486]","[194.12, 72.06]",-1.889314794,F[P-](F)(F)(F)(F)F.[Li+],20
C(COCCOCCOCCO)O,C1CCOC1,"[0.3307075156590009, 0.3307075156590009]","[194.12, 72.06]",-2.794146614,F[P-](F)(F)(F)(F)F.[Li+],20
C(COCCOCCOCCO)O,C1CCOC1,"[0.3631213914811722, 0.3631213914811722]","[194.12, 72.06]",-2.794810915,F[P-](F)(F)(F)(F)F.[Li+],20
C(COCCOCCOCCO)O,C1CCOC1,"[0.3504001569792703, 0.3504001569792703]","[194.12, 72.06]",-2.893944546,F[P-](F)(F)(F)(F)F.[Li+],20
C(COCCOCCOCCO)O,C1CCOC1,"[0.34413457038240236, 0.34413457038240236]","[194.12, 72.06]",-2.872894901,F[P-](F)(F)(F)(F)F.[Li+],20
C(COCCOCCOCCO)O,C1CCOC1,"[0.37822913120768564, 0.37822913120768564]","[194.12, 72.06]",-2.241828928,F[P-](F)(F)(F)(F)F.[Li+],20
C(COCCOCCOCCO)O,C1CCOC1,"[0.32342781737971715, 0.32342781737971715]","[194.12, 72.06]",-3.386869608,F[P-](F)(F)(F)(F)F.[Li+],20
C(COCCOCCOCCO)O,C1CCOC1,"[0.4212512848164187, 0.4212512848164187]","[194.12, 72.06]",-2.37702944,F[P-](F)(F)(F)(F)F.[Li+],20
C(COCCOCCOCCO)O,C1CCOC1,"[0.4370629370629371, 0.4370629370629371]","[194.12, 72.06]",-4.26059292,F[P-](F)(F)(F)(F)F.[Li+],20
C(COCCOCCOCCO)O,C1CCOC1,"[0.41876748354243787, 0.41876748354243787]","[194.12, 72.06]",-4.419360834,F[P-](F)(F)(F)(F)F.[Li+],20
C(COCCOCCOCCO)O,C1CCOC1,"[0.41945604939514436, 0.41945604939514436]","[194.12, 72.06]",-3.289839695,F[P-](F)(F)(F)(F)F.[Li+],20
C(COCCOCCOCCO)O,C1CCOC1,"[0.3605084611335828, 0.3605084611335828]","[194.12, 72.06]",-2.784388304,F[P-](F)(F)(F)(F)F.[Li+],20
C(COCCOCCOCCO)O,C1CCOC1,"[0.46043483465785084, 0.46043483465785084]","[194.12, 72.06]",-2.127302445,F[P-](F)(F)(F)(F)F.[Li+],20
C(COCCOCCOCCO)O,C1CCOC1,"[0.40748467857608556, 0.40748467857608556]","[194.12, 72.06]",-2.848259989,F[P-](F)(F)(F)(F)F.[Li+],20
C(COCCOCCOCCO)O,C1CCOC1,"[0.3993610223642173, 0.3993610223642173]","[194.12, 72.06]",-2.8430966,F[P-](F)(F)(F)(F)F.[Li+],20
C(COCCOCCOCCO)O,C1CCOC1,"[0.4464285714285714, 0.4464285714285714]","[194.12, 72.06]",-2.737776277,F[P-](F)(F)(F)(F)F.[Li+],20
C(COCCOCCOCCO)O,C1CCOC1,"[0.40983942491331893, 0.40983942491331893]","[194.12, 72.06]",-2.603434401,F[P-](F)(F)(F)(F)F.[Li+],20
C(COCCOCCOCCO)O,C1CCOC1,"[0.4273504273504274, 0.4273504273504274]","[194.12, 72.06]",-2.60442744,F[P-](F)(F)(F)(F)F.[Li+],20
C(COCCOCCOCCO)O,C1CCOC1,"[0.4259415437825313, 0.4259415437825313]","[194.12, 72.06]",-2.813291772,F[P-](F)(F)(F)(F)F.[Li+],20
C(COCCOCCOCCO)O,C1CCOC1,"[0.4409482150416255, 0.4409482150416255]","[194.12, 72.06]",-2.18314051,F[P-](F)(F)(F)(F)F.[Li+],20
C(COCCOCCOCCO)O,C1CCOC1,"[0.4444325929086336, 0.4444325929086336]","[194.12, 72.06]",-3.201641809,F[P-](F)(F)(F)(F)F.[Li+],20
C(COCCOCCOCCO)O,C1CCOC1,"[0.45577604988013093, 0.45577604988013093]","[194.12, 72.06]",-3.165111193,F[P-](F)(F)(F)(F)F.[Li+],20
C(COCCOCCOCCO)O,C1CCOC1,"[0.4025700069242041, 0.4025700069242041]","[194.12, 72.06]",-3.354001993,F[P-](F)(F)(F)(F)F.[Li+],20
C(COCCOCCOCCO)O,CC(C)C[Si](O[Si](CC(C)C)(O1)O[Si]2(CCCOC(C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCC)[Au])=O)O3)(O[Si](O4)(O[Si]1(CC(C)C)O[Si]5(CCC)O2)CC(C)C)O[Si]3(CC(C)C)O[Si]4(O5)CC(C)C,"[0.43253717657032625, 0.43253717657032625]","[194.12, 1552.53]",-3.139011941,F[P-](F)(F)(F)(F)F.[Li+],20
C(COCCOCCOCCO)O,CC(C)C[Si](O[Si](CC(C)C)(O1)O[Si]2(CCCOC(C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCC)[Au])=O)O3)(O[Si](O4)(O[Si]1(CC(C)C)O[Si]5(CCC)O2)CC(C)C)O[Si]3(CC(C)C)O[Si]4(O5)CC(C)C,"[0.3885215202070043, 0.3885215202070043]","[194.12, 1552.53]",-2.805363478,F[P-](F)(F)(F)(F)F.[Li+],20
C(COCCOCCOCCO)O,CC(C)C[Si](O[Si](CC(C)C)(O1)O[Si]2(CCCOC(C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCC)[Au])=O)O3)(O[Si](O4)(O[Si]1(CC(C)C)O[Si]5(CCC)O2)CC(C)C)O[Si]3(CC(C)C)O[Si]4(O5)CC(C)C,"[0.45209591666968063, 0.45209591666968063]","[194.12, 1552.53]",-3.049752034,F[P-](F)(F)(F)(F)F.[Li+],20
C(COCCOCCOCCO)O,CC(C)C[Si](O[Si](CC(C)C)(O1)O[Si]2(CCCOC(C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCC)[Au])=O)O3)(O[Si](O4)(O[Si]1(CC(C)C)O[Si]5(CCC)O2)CC(C)C)O[Si]3(CC(C)C)O[Si]4(O5)CC(C)C,"[0.45703003601396686, 0.45703003601396686]","[194.12, 1552.53]",-2.855333206,F[P-](F)(F)(F)(F)F.[Li+],20
C(COCCOCCOCCO)O,CC(C)C[Si](O[Si](CC(C)C)(O1)O[Si]2(CCCOC(C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCC)[Au])=O)O3)(O[Si](O4)(O[Si]1(CC(C)C)O[Si]5(CCC)O2)CC(C)C)O[Si]3(CC(C)C)O[Si]4(O5)CC(C)C,"[0.2756521930888482, 0.2756521930888482]","[194.12, 1552.53]",-4.081938555,F[P-](F)(F)(F)(F)F.[Li+],20
C(COCCOCCOCCO)O,CC(C)C[Si](O[Si](CC(C)C)(O1)O[Si]2(CCCOC(C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCC)[Au])=O)O3)(O[Si](O4)(O[Si]1(CC(C)C)O[Si]5(CCC)O2)CC(C)C)O[Si]3(CC(C)C)O[Si]4(O5)CC(C)C,"[0.34796648386827383, 0.34796648386827383]","[194.12, 1552.53]",-2.960485897,F[P-](F)(F)(F)(F)F.[Li+],20
C(COCCOCCOCCO)O,CC(C)C[Si](O[Si](CC(C)C)(O1)O[Si]2(CCCOC(C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCC)[Au])=O)O3)(O[Si](O4)(O[Si]1(CC(C)C)O[Si]5(CCC)O2)CC(C)C)O[Si]3(CC(C)C)O[Si]4(O5)CC(C)C,"[0.41808467050747117, 0.41808467050747117]","[194.12, 1552.53]",-2.945943077,F[P-](F)(F)(F)(F)F.[Li+],20
