Solvent 1,Solvent 2,Weights,Molar Mass,Log Conductivity (log S/cm),salt,temperature
CC(C)C[Si](O[Si](CC(C)C)(O1)O[Si]2(CCCOC(C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCC)[Au])=O)O3)(O[Si](O4)(O[Si]1(CC(C)C)O[Si]5(CCC)O2)CC(C)C)O[Si]3(CC(C)C)O[Si]4(O5)CC(C)C,COCCOCCOCCOCCO,"[0.45703003601396686, 0.45703003601396686]","[1552.53, 208.13]",-2.903150706,F[P-](F)(F)(F)(F)F.[Li+],20
CC(C)C[Si](O[Si](CC(C)C)(O1)O[Si]2(CCCOC(C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCC)[Au])=O)O3)(O[Si](O4)(O[Si]1(CC(C)C)O[Si]5(CCC)O2)CC(C)C)O[Si]3(CC(C)C)O[Si]4(O5)CC(C)C,COCCOCCOCCOCCO,"[0.2756521930888482, 0.2756521930888482]","[1552.53, 208.13]",-4.100855999,F[P-](F)(F)(F)(F)F.[Li+],20
CC(C)C[Si](O[Si](CC(C)C)(O1)O[Si]2(CCCOC(C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCC)[Au])=O)O3)(O[Si](O4)(O[Si]1(CC(C)C)O[Si]5(CCC)O2)CC(C)C)O[Si]3(CC(C)C)O[Si]4(O5)CC(C)C,COCCOCCOCCOCCO,"[0.34796648386827383, 0.34796648386827383]","[1552.53, 208.13]",-2.975953516,F[P-](F)(F)(F)(F)F.[Li+],20
CC(C)C[Si](O[Si](CC(C)C)(O1)O[Si]2(CCCOC(C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCC)[Au])=O)O3)(O[Si](O4)(O[Si]1(CC(C)C)O[Si]5(CCC)O2)CC(C)C)O[Si]3(CC(C)C)O[Si]4(O5)CC(C)C,COCCOCCOCCOCCO,"[0.41808467050747117, 0.41808467050747117]","[1552.53, 208.13]",-2.98968606,F[P-](F)(F)(F)(F)F.[Li+],20
CC(C)C[Si](O[Si](CC(C)C)(O1)O[Si]2(CCCOC(C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCC)[Au])=O)O3)(O[Si](O4)(O[Si]1(CC(C)C)O[Si]5(CCC)O2)CC(C)C)O[Si]3(CC(C)C)O[Si]4(O5)CC(C)C,COCCOCCOCCOCCO,"[0.43403531311307486, 0.43403531311307486]","[1552.53, 208.13]",-3.408163879,F[P-](F)(F)(F)(F)F.[Li+],20
CC(C)C[Si](O[Si](CC(C)C)(O1)O[Si]2(CCCOC(C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCC)[Au])=O)O3)(O[Si](O4)(O[Si]1(CC(C)C)O[Si]5(CCC)O2)CC(C)C)O[Si]3(CC(C)C)O[Si]4(O5)CC(C)C,COCCOCCOCCOCCO,"[0.3307075156590009, 0.3307075156590009]","[1552.53, 208.13]",-3.377277744,F[P-](F)(F)(F)(F)F.[Li+],20
CC(C)C[Si](O[Si](CC(C)C)(O1)O[Si]2(CCCOC(C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCC)[Au])=O)O3)(O[Si](O4)(O[Si]1(CC(C)C)O[Si]5(CCC)O2)CC(C)C)O[Si]3(CC(C)C)O[Si]4(O5)CC(C)C,COCCOCCOCCOCCO,"[0.3631213914811722, 0.3631213914811722]","[1552.53, 208.13]",-3.341712427,F[P-](F)(F)(F)(F)F.[Li+],20
CC(C)C[Si](O[Si](CC(C)C)(O1)O[Si]2(CCCOC(C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCC)[Au])=O)O3)(O[Si](O4)(O[Si]1(CC(C)C)O[Si]5(CCC)O2)CC(C)C)O[Si]3(CC(C)C)O[Si]4(O5)CC(C)C,COCCOCCOCCOCCO,"[0.3504001569792703, 0.3504001569792703]","[1552.53, 208.13]",-3.405377761,F[P-](F)(F)(F)(F)F.[Li+],20
CC(C)C[Si](O[Si](CC(C)C)(O1)O[Si]2(CCCOC(C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCC)[Au])=O)O3)(O[Si](O4)(O[Si]1(CC(C)C)O[Si]5(CCC)O2)CC(C)C)O[Si]3(CC(C)C)O[Si]4(O5)CC(C)C,COCCOCCOCCOCCO,"[0.34413457038240236, 0.34413457038240236]","[1552.53, 208.13]",-2.999978125,F[P-](F)(F)(F)(F)F.[Li+],20
CC(C)C[Si](O[Si](CC(C)C)(O1)O[Si]2(CCCOC(C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCC)[Au])=O)O3)(O[Si](O4)(O[Si]1(CC(C)C)O[Si]5(CCC)O2)CC(C)C)O[Si]3(CC(C)C)O[Si]4(O5)CC(C)C,COCCOCCOCCOCCO,"[0.37822913120768564, 0.37822913120768564]","[1552.53, 208.13]",-3.245549309,F[P-](F)(F)(F)(F)F.[Li+],20
CC(C)C[Si](O[Si](CC(C)C)(O1)O[Si]2(CCCOC(C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCC)[Au])=O)O3)(O[Si](O4)(O[Si]1(CC(C)C)O[Si]5(CCC)O2)CC(C)C)O[Si]3(CC(C)C)O[Si]4(O5)CC(C)C,COCCOCCOCCOCCO,"[0.32342781737971715, 0.32342781737971715]","[1552.53, 208.13]",-3.599397237,F[P-](F)(F)(F)(F)F.[Li+],20
CC(C)C[Si](O[Si](CC(C)C)(O1)O[Si]2(CCCOC(C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCC)[Au])=O)O3)(O[Si](O4)(O[Si]1(CC(C)C)O[Si]5(CCC)O2)CC(C)C)O[Si]3(CC(C)C)O[Si]4(O5)CC(C)C,COCCOCCOCCOCCO,"[0.4212512848164187, 0.4212512848164187]","[1552.53, 208.13]",-2.976396482,F[P-](F)(F)(F)(F)F.[Li+],20
CC(C)C[Si](O[Si](CC(C)C)(O1)O[Si]2(CCCOC(C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCC)[Au])=O)O3)(O[Si](O4)(O[Si]1(CC(C)C)O[Si]5(CCC)O2)CC(C)C)O[Si]3(CC(C)C)O[Si]4(O5)CC(C)C,COCCOCCOCCOCCO,"[0.4370629370629371, 0.4370629370629371]","[1552.53, 208.13]",-3.748394083,F[P-](F)(F)(F)(F)F.[Li+],20
CC(C)C[Si](O[Si](CC(C)C)(O1)O[Si]2(CCCOC(C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCC)[Au])=O)O3)(O[Si](O4)(O[Si]1(CC(C)C)O[Si]5(CCC)O2)CC(C)C)O[Si]3(CC(C)C)O[Si]4(O5)CC(C)C,COCCOCCOCCOCCO,"[0.41876748354243787, 0.41876748354243787]","[1552.53, 208.13]",-4.179663922,F[P-](F)(F)(F)(F)F.[Li+],20
CC(C)C[Si](O[Si](CC(C)C)(O1)O[Si]2(CCCOC(C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCC)[Au])=O)O3)(O[Si](O4)(O[Si]1(CC(C)C)O[Si]5(CCC)O2)CC(C)C)O[Si]3(CC(C)C)O[Si]4(O5)CC(C)C,COCCOCCOCCOCCO,"[0.41945604939514436, 0.41945604939514436]","[1552.53, 208.13]",-3.44473796,F[P-](F)(F)(F)(F)F.[Li+],20
CC(C)C[Si](O[Si](CC(C)C)(O1)O[Si]2(CCCOC(C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCC)[Au])=O)O3)(O[Si](O4)(O[Si]1(CC(C)C)O[Si]5(CCC)O2)CC(C)C)O[Si]3(CC(C)C)O[Si]4(O5)CC(C)C,COCCOCCOCCOCCO,"[0.3605084611335828, 0.3605084611335828]","[1552.53, 208.13]",-2.917519069,F[P-](F)(F)(F)(F)F.[Li+],20
CC(C)C[Si](O[Si](CC(C)C)(O1)O[Si]2(CCCOC(C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCC)[Au])=O)O3)(O[Si](O4)(O[Si]1(CC(C)C)O[Si]5(CCC)O2)CC(C)C)O[Si]3(CC(C)C)O[Si]4(O5)CC(C)C,COCCOCCOCCOCCO,"[0.46043483465785084, 0.46043483465785084]","[1552.53, 208.13]",-3.771008945,F[P-](F)(F)(F)(F)F.[Li+],20
CC(C)C[Si](O[Si](CC(C)C)(O1)O[Si]2(CCCOC(C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCC)[Au])=O)O3)(O[Si](O4)(O[Si]1(CC(C)C)O[Si]5(CCC)O2)CC(C)C)O[Si]3(CC(C)C)O[Si]4(O5)CC(C)C,COCCOCCOCCOCCO,"[0.40748467857608556, 0.40748467857608556]","[1552.53, 208.13]",-3.35162665,F[P-](F)(F)(F)(F)F.[Li+],20
CC(C)C[Si](O[Si](CC(C)C)(O1)O[Si]2(CCCOC(C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCC)[Au])=O)O3)(O[Si](O4)(O[Si]1(CC(C)C)O[Si]5(CCC)O2)CC(C)C)O[Si]3(CC(C)C)O[Si]4(O5)CC(C)C,COCCOCCOCCOCCO,"[0.3993610223642173, 0.3993610223642173]","[1552.53, 208.13]",-3.167587116,F[P-](F)(F)(F)(F)F.[Li+],20
CC(C)C[Si](O[Si](CC(C)C)(O1)O[Si]2(CCCOC(C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCC)[Au])=O)O3)(O[Si](O4)(O[Si]1(CC(C)C)O[Si]5(CCC)O2)CC(C)C)O[Si]3(CC(C)C)O[Si]4(O5)CC(C)C,COCCOCCOCCOCCO,"[0.4464285714285714, 0.4464285714285714]","[1552.53, 208.13]",-3.083164085,F[P-](F)(F)(F)(F)F.[Li+],20
CC(C)C[Si](O[Si](CC(C)C)(O1)O[Si]2(CCCOC(C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCC)[Au])=O)O3)(O[Si](O4)(O[Si]1(CC(C)C)O[Si]5(CCC)O2)CC(C)C)O[Si]3(CC(C)C)O[Si]4(O5)CC(C)C,COCCOCCOCCOCCO,"[0.40983942491331893, 0.40983942491331893]","[1552.53, 208.13]",-3.191335799,F[P-](F)(F)(F)(F)F.[Li+],20
CC(C)C[Si](O[Si](CC(C)C)(O1)O[Si]2(CCCOC(C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCC)[Au])=O)O3)(O[Si](O4)(O[Si]1(CC(C)C)O[Si]5(CCC)O2)CC(C)C)O[Si]3(CC(C)C)O[Si]4(O5)CC(C)C,COCCOCCOCCOCCO,"[0.4273504273504274, 0.4273504273504274]","[1552.53, 208.13]",-3.159324744,F[P-](F)(F)(F)(F)F.[Li+],20
CC(C)C[Si](O[Si](CC(C)C)(O1)O[Si]2(CCCOC(C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCC)[Au])=O)O3)(O[Si](O4)(O[Si]1(CC(C)C)O[Si]5(CCC)O2)CC(C)C)O[Si]3(CC(C)C)O[Si]4(O5)CC(C)C,COCCOCCOCCOCCO,"[0.4259415437825313, 0.4259415437825313]","[1552.53, 208.13]",-3.045134861,F[P-](F)(F)(F)(F)F.[Li+],20
CC(C)C[Si](O[Si](CC(C)C)(O1)O[Si]2(CCCOC(C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCC)[Au])=O)O3)(O[Si](O4)(O[Si]1(CC(C)C)O[Si]5(CCC)O2)CC(C)C)O[Si]3(CC(C)C)O[Si]4(O5)CC(C)C,COCCOCCOCCOCCO,"[0.4409482150416255, 0.4409482150416255]","[1552.53, 208.13]",-3.743940983,F[P-](F)(F)(F)(F)F.[Li+],20
CC(C)C[Si](O[Si](CC(C)C)(O1)O[Si]2(CCCOC(C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCC)[Au])=O)O3)(O[Si](O4)(O[Si]1(CC(C)C)O[Si]5(CCC)O2)CC(C)C)O[Si]3(CC(C)C)O[Si]4(O5)CC(C)C,COCCOCCOCCOCCO,"[0.4444325929086336, 0.4444325929086336]","[1552.53, 208.13]",-3.378983891,F[P-](F)(F)(F)(F)F.[Li+],20
CC(C)C[Si](O[Si](CC(C)C)(O1)O[Si]2(CCCOC(C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCC)[Au])=O)O3)(O[Si](O4)(O[Si]1(CC(C)C)O[Si]5(CCC)O2)CC(C)C)O[Si]3(CC(C)C)O[Si]4(O5)CC(C)C,COCCOCCOCCOCCO,"[0.45577604988013093, 0.45577604988013093]","[1552.53, 208.13]",-3.333422017,F[P-](F)(F)(F)(F)F.[Li+],20
CC(C)C[Si](O[Si](CC(C)C)(O1)O[Si]2(CCCOC(C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCC)[Au])=O)O3)(O[Si](O4)(O[Si]1(CC(C)C)O[Si]5(CCC)O2)CC(C)C)O[Si]3(CC(C)C)O[Si]4(O5)CC(C)C,COCCOCCOCCOCCO,"[0.4025700069242041, 0.4025700069242041]","[1552.53, 208.13]",-3.502664167,F[P-](F)(F)(F)(F)F.[Li+],20
CC(C)C[Si](O[Si](CC(C)C)(O1)O[Si]2(CCCOC(C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCC)[Au])=O)O3)(O[Si](O4)(O[Si]1(CC(C)C)O[Si]5(CCC)O2)CC(C)C)O[Si]3(CC(C)C)O[Si]4(O5)CC(C)C,COCCOCCOCCOCCOC,"[0.43253717657032625, 0.43253717657032625]","[1552.53, 222.15]",-3.224549657,F[P-](F)(F)(F)(F)F.[Li+],20
CC(C)C[Si](O[Si](CC(C)C)(O1)O[Si]2(CCCOC(C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCC)[Au])=O)O3)(O[Si](O4)(O[Si]1(CC(C)C)O[Si]5(CCC)O2)CC(C)C)O[Si]3(CC(C)C)O[Si]4(O5)CC(C)C,COCCOCCOCCOCCOC,"[0.3885215202070043, 0.3885215202070043]","[1552.53, 222.15]",-2.838625401,F[P-](F)(F)(F)(F)F.[Li+],20
CC(C)C[Si](O[Si](CC(C)C)(O1)O[Si]2(CCCOC(C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCC)[Au])=O)O3)(O[Si](O4)(O[Si]1(CC(C)C)O[Si]5(CCC)O2)CC(C)C)O[Si]3(CC(C)C)O[Si]4(O5)CC(C)C,COCCOCCOCCOCCOC,"[0.45209591666968063, 0.45209591666968063]","[1552.53, 222.15]",-3.08845713,F[P-](F)(F)(F)(F)F.[Li+],20
CC(C)C[Si](O[Si](CC(C)C)(O1)O[Si]2(CCCOC(C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCC)[Au])=O)O3)(O[Si](O4)(O[Si]1(CC(C)C)O[Si]5(CCC)O2)CC(C)C)O[Si]3(CC(C)C)O[Si]4(O5)CC(C)C,COCCOCCOCCOCCOC,"[0.45703003601396686, 0.45703003601396686]","[1552.53, 222.15]",-2.945713435,F[P-](F)(F)(F)(F)F.[Li+],20
CC(C)C[Si](O[Si](CC(C)C)(O1)O[Si]2(CCCOC(C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCC)[Au])=O)O3)(O[Si](O4)(O[Si]1(CC(C)C)O[Si]5(CCC)O2)CC(C)C)O[Si]3(CC(C)C)O[Si]4(O5)CC(C)C,COCCOCCOCCOCCOC,"[0.2756521930888482, 0.2756521930888482]","[1552.53, 222.15]",-4.118351234,F[P-](F)(F)(F)(F)F.[Li+],20
CC(C)C[Si](O[Si](CC(C)C)(O1)O[Si]2(CCCOC(C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCC)[Au])=O)O3)(O[Si](O4)(O[Si]1(CC(C)C)O[Si]5(CCC)O2)CC(C)C)O[Si]3(CC(C)C)O[Si]4(O5)CC(C)C,COCCOCCOCCOCCOC,"[0.34796648386827383, 0.34796648386827383]","[1552.53, 222.15]",-2.990276187,F[P-](F)(F)(F)(F)F.[Li+],20
CC(C)C[Si](O[Si](CC(C)C)(O1)O[Si]2(CCCOC(C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCC)[Au])=O)O3)(O[Si](O4)(O[Si]1(CC(C)C)O[Si]5(CCC)O2)CC(C)C)O[Si]3(CC(C)C)O[Si]4(O5)CC(C)C,COCCOCCOCCOCCOC,"[0.41808467050747117, 0.41808467050747117]","[1552.53, 222.15]",-3.028621985,F[P-](F)(F)(F)(F)F.[Li+],20
CC(C)C[Si](O[Si](CC(C)C)(O1)O[Si]2(CCCOC(C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCC)[Au])=O)O3)(O[Si](O4)(O[Si]1(CC(C)C)O[Si]5(CCC)O2)CC(C)C)O[Si]3(CC(C)C)O[Si]4(O5)CC(C)C,COCCOCCOCCOCCOC,"[0.43403531311307486, 0.43403531311307486]","[1552.53, 222.15]",-3.448092694,F[P-](F)(F)(F)(F)F.[Li+],20
CC(C)C[Si](O[Si](CC(C)C)(O1)O[Si]2(CCCOC(C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCC)[Au])=O)O3)(O[Si](O4)(O[Si]1(CC(C)C)O[Si]5(CCC)O2)CC(C)C)O[Si]3(CC(C)C)O[Si]4(O5)CC(C)C,COCCOCCOCCOCCOC,"[0.3307075156590009, 0.3307075156590009]","[1552.53, 222.15]",-3.398267902,F[P-](F)(F)(F)(F)F.[Li+],20
CC(C)C[Si](O[Si](CC(C)C)(O1)O[Si]2(CCCOC(C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCC)[Au])=O)O3)(O[Si](O4)(O[Si]1(CC(C)C)O[Si]5(CCC)O2)CC(C)C)O[Si]3(CC(C)C)O[Si]4(O5)CC(C)C,COCCOCCOCCOCCOC,"[0.3631213914811722, 0.3631213914811722]","[1552.53, 222.15]",-3.356658604,F[P-](F)(F)(F)(F)F.[Li+],20
CC(C)C[Si](O[Si](CC(C)C)(O1)O[Si]2(CCCOC(C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCC)[Au])=O)O3)(O[Si](O4)(O[Si]1(CC(C)C)O[Si]5(CCC)O2)CC(C)C)O[Si]3(CC(C)C)O[Si]4(O5)CC(C)C,COCCOCCOCCOCCOC,"[0.3504001569792703, 0.3504001569792703]","[1552.53, 222.15]",-3.419801309,F[P-](F)(F)(F)(F)F.[Li+],20
CC(C)C[Si](O[Si](CC(C)C)(O1)O[Si]2(CCCOC(C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCC)[Au])=O)O3)(O[Si](O4)(O[Si]1(CC(C)C)O[Si]5(CCC)O2)CC(C)C)O[Si]3(CC(C)C)O[Si]4(O5)CC(C)C,COCCOCCOCCOCCOC,"[0.34413457038240236, 0.34413457038240236]","[1552.53, 222.15]",-3.014143251,F[P-](F)(F)(F)(F)F.[Li+],20
CC(C)C[Si](O[Si](CC(C)C)(O1)O[Si]2(CCCOC(C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCC)[Au])=O)O3)(O[Si](O4)(O[Si]1(CC(C)C)O[Si]5(CCC)O2)CC(C)C)O[Si]3(CC(C)C)O[Si]4(O5)CC(C)C,COCCOCCOCCOCCOC,"[0.37822913120768564, 0.37822913120768564]","[1552.53, 222.15]",-3.280774762,F[P-](F)(F)(F)(F)F.[Li+],20
CC(C)C[Si](O[Si](CC(C)C)(O1)O[Si]2(CCCOC(C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCC)[Au])=O)O3)(O[Si](O4)(O[Si]1(CC(C)C)O[Si]5(CCC)O2)CC(C)C)O[Si]3(CC(C)C)O[Si]4(O5)CC(C)C,COCCOCCOCCOCCOC,"[0.32342781737971715, 0.32342781737971715]","[1552.53, 222.15]",-3.612709364,F[P-](F)(F)(F)(F)F.[Li+],20
CC(C)C[Si](O[Si](CC(C)C)(O1)O[Si]2(CCCOC(C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCC)[Au])=O)O3)(O[Si](O4)(O[Si]1(CC(C)C)O[Si]5(CCC)O2)CC(C)C)O[Si]3(CC(C)C)O[Si]4(O5)CC(C)C,COCCOCCOCCOCCOC,"[0.4212512848164187, 0.4212512848164187]","[1552.53, 222.15]",-2.993735358,F[P-](F)(F)(F)(F)F.[Li+],20
CC(C)C[Si](O[Si](CC(C)C)(O1)O[Si]2(CCCOC(C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCC)[Au])=O)O3)(O[Si](O4)(O[Si]1(CC(C)C)O[Si]5(CCC)O2)CC(C)C)O[Si]3(CC(C)C)O[Si]4(O5)CC(C)C,COCCOCCOCCOCCOC,"[0.4370629370629371, 0.4370629370629371]","[1552.53, 222.15]",-3.729346686,F[P-](F)(F)(F)(F)F.[Li+],20
CC(C)C[Si](O[Si](CC(C)C)(O1)O[Si]2(CCCOC(C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCC)[Au])=O)O3)(O[Si](O4)(O[Si]1(CC(C)C)O[Si]5(CCC)O2)CC(C)C)O[Si]3(CC(C)C)O[Si]4(O5)CC(C)C,COCCOCCOCCOCCOC,"[0.41876748354243787, 0.41876748354243787]","[1552.53, 222.15]",-4.1614133,F[P-](F)(F)(F)(F)F.[Li+],20
CC(C)C[Si](O[Si](CC(C)C)(O1)O[Si]2(CCCOC(C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCC)[Au])=O)O3)(O[Si](O4)(O[Si]1(CC(C)C)O[Si]5(CCC)O2)CC(C)C)O[Si]3(CC(C)C)O[Si]4(O5)CC(C)C,COCCOCCOCCOCCOC,"[0.41945604939514436, 0.41945604939514436]","[1552.53, 222.15]",-3.462003108,F[P-](F)(F)(F)(F)F.[Li+],20
CC(C)C[Si](O[Si](CC(C)C)(O1)O[Si]2(CCCOC(C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCC)[Au])=O)O3)(O[Si](O4)(O[Si]1(CC(C)C)O[Si]5(CCC)O2)CC(C)C)O[Si]3(CC(C)C)O[Si]4(O5)CC(C)C,COCCOCCOCCOCCOC,"[0.3605084611335828, 0.3605084611335828]","[1552.53, 222.15]",-2.932357694,F[P-](F)(F)(F)(F)F.[Li+],20
CC(C)C[Si](O[Si](CC(C)C)(O1)O[Si]2(CCCOC(C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCC)[Au])=O)O3)(O[Si](O4)(O[Si]1(CC(C)C)O[Si]5(CCC)O2)CC(C)C)O[Si]3(CC(C)C)O[Si]4(O5)CC(C)C,COCCOCCOCCOCCOC,"[0.46043483465785084, 0.46043483465785084]","[1552.53, 222.15]",-3.813890027,F[P-](F)(F)(F)(F)F.[Li+],20
CC(C)C[Si](O[Si](CC(C)C)(O1)O[Si]2(CCCOC(C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCC)[Au])=O)O3)(O[Si](O4)(O[Si]1(CC(C)C)O[Si]5(CCC)O2)CC(C)C)O[Si]3(CC(C)C)O[Si]4(O5)CC(C)C,COCCOCCOCCOCCOC,"[0.40748467857608556, 0.40748467857608556]","[1552.53, 222.15]",-3.368399135,F[P-](F)(F)(F)(F)F.[Li+],20
CC(C)C[Si](O[Si](CC(C)C)(O1)O[Si]2(CCCOC(C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCC)[Au])=O)O3)(O[Si](O4)(O[Si]1(CC(C)C)O[Si]5(CCC)O2)CC(C)C)O[Si]3(CC(C)C)O[Si]4(O5)CC(C)C,COCCOCCOCCOCCOC,"[0.3993610223642173, 0.3993610223642173]","[1552.53, 222.15]",-3.20014053,F[P-](F)(F)(F)(F)F.[Li+],20
CC(C)C[Si](O[Si](CC(C)C)(O1)O[Si]2(CCCOC(C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCC)[Au])=O)O3)(O[Si](O4)(O[Si]1(CC(C)C)O[Si]5(CCC)O2)CC(C)C)O[Si]3(CC(C)C)O[Si]4(O5)CC(C)C,COCCOCCOCCOCCOC,"[0.4464285714285714, 0.4464285714285714]","[1552.53, 222.15]",-3.124740895,F[P-](F)(F)(F)(F)F.[Li+],20
CC(C)C[Si](O[Si](CC(C)C)(O1)O[Si]2(CCCOC(C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCC)[Au])=O)O3)(O[Si](O4)(O[Si]1(CC(C)C)O[Si]5(CCC)O2)CC(C)C)O[Si]3(CC(C)C)O[Si]4(O5)CC(C)C,COCCOCCOCCOCCOC,"[0.40983942491331893, 0.40983942491331893]","[1552.53, 222.15]",-3.229504766,F[P-](F)(F)(F)(F)F.[Li+],20
CC(C)C[Si](O[Si](CC(C)C)(O1)O[Si]2(CCCOC(C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCC)[Au])=O)O3)(O[Si](O4)(O[Si]1(CC(C)C)O[Si]5(CCC)O2)CC(C)C)O[Si]3(CC(C)C)O[Si]4(O5)CC(C)C,COCCOCCOCCOCCOC,"[0.4273504273504274, 0.4273504273504274]","[1552.53, 222.15]",-3.199123755,F[P-](F)(F)(F)(F)F.[Li+],20
CC(C)C[Si](O[Si](CC(C)C)(O1)O[Si]2(CCCOC(C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCC)[Au])=O)O3)(O[Si](O4)(O[Si]1(CC(C)C)O[Si]5(CCC)O2)CC(C)C)O[Si]3(CC(C)C)O[Si]4(O5)CC(C)C,COCCOCCOCCOCCOC,"[0.4259415437825313, 0.4259415437825313]","[1552.53, 222.15]",-3.08480392,F[P-](F)(F)(F)(F)F.[Li+],20
CC(C)C[Si](O[Si](CC(C)C)(O1)O[Si]2(CCCOC(C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCC)[Au])=O)O3)(O[Si](O4)(O[Si]1(CC(C)C)O[Si]5(CCC)O2)CC(C)C)O[Si]3(CC(C)C)O[Si]4(O5)CC(C)C,COCCOCCOCCOCCOC,"[0.4409482150416255, 0.4409482150416255]","[1552.53, 222.15]",-3.785006883,F[P-](F)(F)(F)(F)F.[Li+],20
CC(C)C[Si](O[Si](CC(C)C)(O1)O[Si]2(CCCOC(C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCC)[Au])=O)O3)(O[Si](O4)(O[Si]1(CC(C)C)O[Si]5(CCC)O2)CC(C)C)O[Si]3(CC(C)C)O[Si]4(O5)CC(C)C,COCCOCCOCCOCCOC,"[0.4444325929086336, 0.4444325929086336]","[1552.53, 222.15]",-3.397277384,F[P-](F)(F)(F)(F)F.[Li+],20
CC(C)C[Si](O[Si](CC(C)C)(O1)O[Si]2(CCCOC(C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCC)[Au])=O)O3)(O[Si](O4)(O[Si]1(CC(C)C)O[Si]5(CCC)O2)CC(C)C)O[Si]3(CC(C)C)O[Si]4(O5)CC(C)C,COCCOCCOCCOCCOC,"[0.45577604988013093, 0.45577604988013093]","[1552.53, 222.15]",-3.352182658,F[P-](F)(F)(F)(F)F.[Li+],20
CC(C)C[Si](O[Si](CC(C)C)(O1)O[Si]2(CCCOC(C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCC)[Au])=O)O3)(O[Si](O4)(O[Si]1(CC(C)C)O[Si]5(CCC)O2)CC(C)C)O[Si]3(CC(C)C)O[Si]4(O5)CC(C)C,COCCOCCOCCOCCOC,"[0.4025700069242041, 0.4025700069242041]","[1552.53, 222.15]",-3.519235048,F[P-](F)(F)(F)(F)F.[Li+],20
CC(C)C[Si](O[Si](CC(C)C)(O1)O[Si]2(CCCOC(C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCC)[Au])=O)O3)(O[Si](O4)(O[Si]1(CC(C)C)O[Si]5(CCC)O2)CC(C)C)O[Si]3(CC(C)C)O[Si]4(O5)CC(C)C,COCOC,"[0.43253717657032625, 0.43253717657032625]","[1552.53, 76.05]",-3.052606244,F[P-](F)(F)(F)(F)F.[Li+],20
